location,facilities,
Kuala Lumpur  Taman Desa,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Cheras,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna",", , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Minimart, Jogging Track, Lift, Swimming Pool",
Kuala Lumpur  Sentul,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift",", Near KTM/LRT, "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Ampang,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Segambut,"Playground, Security, Parking, Lift, Swimming Pool",", , , Near KTM/LRT"
Kuala Lumpur  Desa ParkCity,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium",", , Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Ampang,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Sentul,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area",", , "
Kuala Lumpur  Kepong,"Security, Parking, Lift",", Near KTM/LRT, "
Kuala Lumpur  KL City,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  KL City,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",", Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Gymnasium",", "
Kuala Lumpur  Ampang,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",
Kuala Lumpur  Cheras,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool",", "
Kuala Lumpur  Cheras,"Parking, Minimart, Playground",
Kuala Lumpur  Cheras,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",
Kuala Lumpur  Wangsa Maju,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",
Kuala Lumpur  Solaris Dutamas,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium",", "
Kuala Lumpur  Solaris Dutamas,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium",", "
Kuala Lumpur  Sentul,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Sentul,,
Kuala Lumpur  Jalan Kuching,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium",", , "
Kuala Lumpur  Bandar Menjalara,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna",", , "
Kuala Lumpur  Desa Pandan,"Multipurpose hall, Security, Gymnasium, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area",", , "
Kuala Lumpur  Cheras,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Desa Pandan,"Security, Parking",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court",", , , "
Kuala Lumpur  Jalan Kuching,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking",", , "
Kuala Lumpur  Setapak,,
